sentence,sense,kinds,music,form,language,aesthetics,instances,pos,modified_noun,dep_parse
son habit est baroque et son visage noir .,other,-,-,-,-,-,1778p, 1784cca, 1785r, 1787,adjective,habit,nsubj
des vaisseaux peints font un hémistiche dur et baroque .,other,-,-,-,-,-,1771c,adjective,hémistiche,-
lorsque otus furent placés commodément le médecin de mon père fit une histoire baroque de la maladie depuis sa naissance jusqu'à ce jour .,other,-,-,-,-,-,1774d,adjective,histoire,amod
suivant l'histoire baroque de cet emprisonnement la pacha feignit de consentir à la demande des mutins à condition qu'il tenterait encore une fois une sortie générale .,other,-,-,-,-,-,1788xa,adjective,histoire,amod
si j'avais voulu être cet homme baroque j'aurais été dans un des coins de versailles pour le moins aussi grand personnage que le cher de buffy ragotin .,other,-,-,-,-,-,1753xxc,adjective,homme,amod
mais les suisses ne sont point constipés et ils sont d'un bien meilleur tempérament encore et je ne conçais pas ce qu'on prétend gagner à recuire et à distiller une humeur baroque pendant huit ou quinze jours .,other,-,-,-,-,-,1778_o, 1779_n, 1781_o, 1782xp,adjective,humeur,amod
quelle humeur baroque .,other,-,-,-,-,-,1776_x, 1776i, 1776xk, 1777_u,adjective,humeur,amod
cette idée me semble très baroque n'en déplaise au bon goût de votre héros .,other,-,-,-,-,-,1789u,adjective,idée,-
voilà pourquoi mon idée plaisante et que vous trouvez baroque mérite la préférence sur le projet que vous défendez .,other,-,-,-,-,-,1787xh,adjective,idée,-
dussiez vous cependant trouver mon idée baroque je ne suis point fait pour dissimuler avec vous .,other,-,-,-,-,-,1736b, 1743, 1757za, 1778k, 1782xe,adjective,idée,amod
néanmoins il entre ce peu de caractéres il s'en trouve seulement un de chaque côté qu'elle puisse unir c'en est fait elle les allie et en forme une idée baroque qui pourra lui representer un livre soit même son existence à rome et pourtant à paris et cetera .,other,-,-,-,-,-,1755h,adjective,idée,amod
cette idée baroque fait faire une action dangereuse à ceux qui en sont imbus .,other,-,-,-,-,-,1761_a,adjective,idée,amod
on doit cependant regarder comme une idée baroque l'homme qui est culbuté dans un coin du tableau et dont on ne voit que les jambes le reste étant supposé hors de la toile .,other,-,-,-,-,-,1769_y, 1769x, 1786xv, 1787xj, 1790_z,adjective,idée,amod
le docteur se mettrait peut-être de mauvais humeur et se fâcherait si l'on voulait s'égayer et rire de son idée baroque .,other,-,-,-,-,-,1774xd,adjective,idée,amod
mais il me semble qu'il est vraisemblable et qu'il donne un fondement raisonnable à cette idée baroque .,other,-,-,-,-,-,1774,adjective,idée,amod
messieurs les inamovibles du régiment de guyenne se sont mis dans la tête une idée tout-à-fait baroque .,other,-,-,-,-,-,1772e, 1773r, 1775s, 1775xf,adjective,idée,amod
quelle idée baroque insensée extravagante .,other,-,-,-,-,-,1775xe,adjective,idée,amod
cette réflexion qui a fait toujours sur mon esprit une impression plus vive que les trames les complots et les conjurations dont on nous fatigue depuis long-temps n'a pas agi avec la même force sur l'âme de nost représentants cars ils n'hésiteraient pas à nous donner un papier national et ils auraient résisté à l'idée baroque et mal faisante de fondre notre argenterie nos boucles et nos saintes-vierges .,other,-,-,-,-,-,1789xl,adjective,idée,amod
et je protette à la face de la nation qu'aucun de nous n'en porta jamais de cette couleur ni n'eut même l'idée baroque d'en porter .,other,-,-,-,-,-,1789xi,adjective,idée,amod
mais comme je ne crois pas possible que paris souffrît un second deux september que les conjurations des prisons sont passées de mode et que le roi de prusse est bien loin dieu merci des plaines de châlons et qu'on ne pourrait pas ce me semble facilement persuader au peuple qu'il y a des hommes à massacrer pour les empêcher de lui préparer une loge à l'opéra l'observation de ce citoyen ne put me distraire des idées baroque que ce nombre de soixante émigrés avait fait naître dans ma tête .,other,-,-,-,-,-,1797q,adjective,idée,amod
ses autres ouvrages ont été admirés des uns comme ayant la noble simplicité de l'antique et critiqués des autres comme portant les traits d'une imagination baroque et contraire au bon goût .,other,-,-,-,-,-,1793b, 1797cv,adjective,imagination,amod
l'absolution conférée par un prêtre sans approbation de l'évêque est invalide et de nul effet c'est l'inductin la plus baroque et la plus absurde qu'on puisse imaginer n'ayant aucune liason avec le principe établi d'où on l'infére .,other,-,-,-,-,-,1778q,adjective,inductin,amod
n'aveignez point cet instrument baroque rauque qui nous fait trembler tous .,other,-,-,-,-,-,1760i,adjective,instrument,amod
un jour donc que siméon n'était pas triste il entre dans une boutique pleine de vessies en prend une et après y avoir ajusté un tuyay de plume et divers chalumeaux il s'en va dans un carrefour de la ville et joue publiquement de son baroque instrument .,other,-,-,-,-,-,1797v,adjective,instrument,amod
vu le jeu baroque et maussade de la troupe de lelio reste d'un miserable écho de collège et de parade .,other,-,-,-,-,-,1764e, 1766_a, 1767_wk, 1769p, 1770_wi, 1770_wj, 1770_wk, 1781_f, 1781k,adjective,jeu,amod
illustre aimable et digne abbesse il n'est donc que trop vrai qu'à paris comme à rome à vienne au paraguay a stokolm à berlin tout ainsi qu'à gonesse le premier jour de lan est de nos douze mois le jour le plus baroque et plus bavard le plus sournois le plus maussade enfin le plus équivoque .,other,-,-,-,-,-,1769t,adjective,jour,amod
les juges défendent leur jugement baroque par l'autorité du roi qui a toujours déclaré qu'il ne voulait pas de sang répandu dans cette affaire .,other,-,-,-,-,-,1775d, 1776m,adjective,jugement,amod
ce qui a formé une jurisprudence baroque et non uniforme que l'on a insérée dans ces coutumes comme une loi invariable à suivre .,other,-,-,-,-,-,1769l,adjective,jurisprudence,amod
il n'y a point de langue si baroque qui n'ait trouvé des partisans zélés .,other,-,-,-,-,-,1752e,adjective,langue,amod
on réimprime ce livre baroque à paris .,other,-,-,-,-,-,1776q,adjective,livre,amod
cette loi serait baroque en ce qu'elle permettrait à un ecclésiastique d'avoir trente mille livres de revenu en un seul bénéfice et ne lui permettrait pas d'avoir en deux ou plusieurs bénéfices plus de trois mille livres .,other,-,-,-,-,-,1789xxxd,adjective,loi,nsubj
je défie tout écolier de logique de déraisonner dans ses essais de syllogisme d'une manière plus baroque .,other,-,-,-,-,-,1756b,adjective,manière,amod
l'auteur orthographie d'une manière baroque .,other,-,-,-,-,-,1758k,adjective,manière,amod
ils passent deux heures à composer un manuscrit qu'il écrivent d'une manière baroque .,other,-,-,-,-,-,1769, 1769sl,adjective,manière,amod
il y a des tuyaux de mer qui sont repliés contournés en spirale en manière de vis roulés les uns sur les autres régulièrement comme des pains de bougier ou d'une manière si baroque que l'on a peine quelquefois à en trouver les extrémités .,other,-,-,-,-,-,1775c,adjective,manière,amod
le vers non si je ne puis t'attendrir est surtout rendu d'une manière baroque et ridicule .,other,-,-,-,-,-,1779p,adjective,manière,amod
manière baroque et à laquelle on se fait très difficileement .,other,-,-,-,-,-,1783xxc,adjective,manière,amod
l'ancienne manière de placer les pelotons et compagnies dans le bataillon était assez baroque et n'était fondée sur aucune raison qui méritât quelque considération .,other,-,-,-,-,-,1774b,adjective,manière,nsubj
le mérite est toujours baroque .,other,-,-,-,-,-,1708xxxa, 1708za, 1709xxxb, 1710a, 1730za,adjective,mérite,nsubj
et dont l'esprit répond à la mine baroque .,other,-,-,-,-,-,1732d, 1739,adjective,mine,amod
l'espèce de foire qu'il imaginée pouor l'émulation des arts et métiers conduit à celle d'un établissement durable où chaque invention nouvelle puisse s'annoncer aux curieux et s'offrir à la comparaison où tous les genres d'industrie ancienne puissent se retrouver et réclamer contre le caprice et la mode baroque qui les ont fait oublier .,other,-,-,-,-,-,1799_bd,adjective,mode,amod
ajoutons encore qu'il semble que plus une mode est baroque plus on lui attache de morgue et de fierté .,other,-,-,-,-,-,1773w, 1774e, 1777ry,adjective,mode,nsubj
on n'avait tenu compte des remarques des connaisseurs et l'on s'attendait à voir incessamment ce monument baroque lorsqu'il paraît décidé aujourd'hui qu'il n'aura pas lieu et qu'on va détruire tout ce qu'on a fait .,other,-,-,-,-,-,1783v, 1789dda,adjective,monument,amod
quelques phrases d'un beau chant dans un morceau d'ailleurs irrégulier commun ou baroque vers heureux dans une pièce écrite d'ailleurs d'un style rocailleux et plat .,other,-,-,-,-,-,1791a,adjective,morceau ,-
on déclare ma muse hérétique et baroque .,other,-,-,-,-,-,1761_wo,adjective,muse,-
la musique qui est du sieur rameau est à son ordinaire baroque et fort médiocre dans le cours de la pièce mais admirable dans les choeurs .,other,-,-,-,-,-,1750b,adjective,musique,nsubj
je ne veux parler ici et dans tout le reste de ma letter que de cette réforme subite et totale qui en voulant ramener tout-à-coup l'orthograph à la prononciation ferait de notre langue une langue barbare inintelligible aux yeux et indéchiffrable de ce néographisme baroque tel qu'il a été proposé autrefois par ramus et après lui par pelletier maigret l'abbé de saint-pierre de launay et quelques autres tel enfin que semblent le proposer les auteurs du vocabulaire .,other,-,-,-,-,-,1768e,adjective,néographisme,amod
et nos chiens que la peur saisit un même instant répandirent à flots un parfum équivoque dont l'odeur mélangée et tout-à-fait baroque fit s'écrier chaque assistant que leur maître ne peut sans néglier sa floire ne pas venger soudain un affront si notoire .,other,-,-,-,-,-,1797n,adjective,odeur ,-
les noms furent plus lisibles mais les cartes avaient un oeil disparate et baroque .,other,-,-,-,-,-,1778w,adjective,oeil,-
un diamant blanc cristallin hors d'oeuvre baroque .,other,-,-,-,-,-,1773f,adjective,oeuvre,amod
je ne crois pas qu'on ait jamais pu inventer un outil aussi baroque .,other,-,-,-,-,-,1783d, 1783e, 1783xxc,adjective,outil,amod
l'ouverture est singulière ou baroque avec un plan extérieur aplati étroite allongée sinueuse et fermée en partie par plusieurs apophyses blanches et dentelées qui se trouvent au-dedans de la lèvre ainsi que par les denticules de la columelle extérieure .,other,-,-,-,-,-,1775,adjective,ouverture,-
l'ouverture est encore plus baroque par son irrégularité et par les diverses apophyses qui en ferment en partie l'entrée et dont la lèvre et al columelle sont garnies .,other,-,-,-,-,-,1775,adjective,ouverture,nsubj
inventons quelque ouvrage baroque .,other,-,-,-,-,-,1769, 1769sl,adjective,ouvrage,amod
je fis encore avec la comtesse et l'abbé une partie plus baroque que celle-ci .,other,-,-,-,-,-,1755r, 1756q, 1787xf,adjective,partie,amod
il y a dit-elle dans cette maison un rendiez-vous de portes insupportable les meubles y sont à la papillote et le pavé de la cour est très baroque .,other,-,-,-,-,-,1746g,adjective,pavé,nsubj
si dans quelque nation voisine on commençait à former quelque trait quelque ébauche de dessein quelque figure encore imparfaite tout cela passerait pour du barbouillage pour une peinture capricieuse et baroque et l'on s'en tiendrait pour conserver le goût à ce beau simple qui véritablement n'exprime rien mais qui fait briller de belles nuances de grandes plaques bien colorées de longues dégradations de teintes aucun trait .,other,-,-,-,-,-,1781q, 1782xb, 1782y, 1783r, 1786s, 1790_wk, 1792_ag, 1796_ah,adjective,peinture ,-
ainsi on dit un esprit un goût un ouvrage une pensée baroque .,other,-,-,-,-,-,1771b, 1772dk,adjective,pensée,amod
mais je ne puis soutenir le personnage baroque et dénué de vraisemblance qu'on fait jouer à ce huron sur la scène .,other,-,-,-,-,-,1769b,adjective,personnage,amod
ce dialogue fixa mon attention sur un personnage assez baroque assis devant une table du café du caveau côté de philidor occupé d'un petit verre qu'il achevait à plusieurs reprises .,other,-,-,-,-,-,1797_wa,adjective,personnage,amod
sans aucune apparence de prétention le poète sait plaire et ses leçons n'ont rien de cette philosophie fade et baroque qui ose se montrer dans les opéra comiques et qui finira par en dégoûter le public .,other,-,-,-,-,-,1774_r, 1775i, 1778ui, 1779oi, 1781,adjective,philosophie,-
la phrase en elle même est baroque .,other,-,-,-,-,-,1753b, 1753ca,adjective,phrase,nsubj
il ne s'agirait que de trouver quelque physionomie baroque bien ridicule bien maussade bien vilaine .,other,-,-,-,-,-,1750lk, 1755xxa, 1762n, 1763q, 1774n, 1778i, 1784xxe,adjective,physionomie,amod
le plaidoyer baroque de l'intimé dans racine fut calqué sur ceux que l'on débitoit tous les jours au palais .,other,-,-,-,-,-,1773t,adjective,plaidoyer,amod
pour avoir un peu exactement ce plan baroque de la caverne je fis tendre un cordeau marqué de toise en toise depuis la porte du mur circulaire jusqu'au fond de la grotte .,other,-,-,-,-,-,1750c,adjective,plan,amod
d'où il est résulté que le plan de ce château est très baroque quoiqu'il soit assez orné à l'extérieur dans le goût de l'architecture du seizième siècle .,other,-,-,-,-,-,1782i,adjective,plan,nsubj
une plante baroque arrivée de la côte de malabar et bien inférieure aux végétaux de nos prairies donnoint matière à des dissertations ridicules qui duraient des après diners entières .,other,-,-,-,-,-,1779xxf, 1785m,adjective,plante,amod
cela posé je dis qu'une loi qui dans l'état actuel où sont les bénéfices du royaume en défendrait purement et simplement la pluralité serait en certains points baroque .,other,-,-,-,-,-,1789xxxd,adjective,pluralité,-
le mexique conquis poème baroque .,other,-,-,-,-,-,1753xb,adjective,poème,amod
elle n'est pourtant ni bizarre ni baroque .,other,-,-,-,-,-,1779t,adjective,poésie,-
d'autre part il avait la prétention - baroque chez lui - de réhabiliter les filles publiques .,other,-,-,-,-,-,1788g,adjective,prétention,amod
mais en se regardant les uns et les autres sur un procedé si baroque ils ne purent s'empêcher de rire .,other,-,-,-,-,-,1768_a, 1772i, 1773u, 1782,adjective,procédé,amod
elle accourut et reprocha tant qu'elle put au grand oiseau ce procédé baroque .,other,-,-,-,-,-,1796k, 1796p,adjective,procédé,amod
de dix vers blancs où le bons sens domine que de forger et bistourner exprès prose baroque où la rime chemine .,other,-,-,-,-,-,1748_s,adjective,prose,amod
voilà un quoique que l'on m'avouera être très mal placé et qui fait un raisonnement baroque .,other,-,-,-,-,-,1753xa,adjective,raisonnement,amod
je ne sais s'il fut jamais raisonnement plus baroque et moins probant .,other,-,-,-,-,-,1778q,adjective,raisonnement,amod
lorsqu'il est arrivé à la cadence il est essentiel que tous les instruments s'arrêtent afin de lui laisser la liberté de se divertir à son aise et de parcourir différents tons de fauter surtout du ton le plus aigu au plus grave et de prolonger son ramage baroque tant que la force de son haleine lui permettra .,other,-,-,-,-,-,1779k,adjective,ramage,amod
mais c'est une entreprise peu heureuse car la friabilité des bords de chaque partie fracturée fait que tout ce qu'on leur restitue offre un rapiécetage baroque et de mauvais goût .,other,-,-,-,-,-,1789xt,adjective,rapiécetage,amod
cette réponse doit avoir paru très baroque au seigneur don antonio ricardos carillo .,other,-,-,-,-,-,1793j,adjective,réponse ,-
zinca paraît effrayée et ensuite contrefait un rire baroque .,other,-,-,-,-,-,1758xxa, 1759_h, 1761_f, 1777_v, 1785e, 1785o, 1787_x, 1788_s, 1797_c,adjective,rire,amod
ll y a dans le texte militia qui fait un sens baroque .,other,-,-,-,-,-,1766l,adjective,sens,amod
quelques-uns composés de deux prépositions ou adverbes allemands seraient un sens bien baroque en les séparant .,other,-,-,-,-,-,1799cca,adjective,sens,amod
cependant l'habile anti-locke condamnait cette ame à la mort pour l'âme n'ayant point de port ne sçachant où fourrer ce souffle si baroque il le détruisait doucement ainsi qu'un foible son tiré d'un instrument .,other,-,-,-,-,-,1761_wo,adjective,souffle,amod
et cette marche qui était toute de son invention formait le spectacle le plus baroque et le plus ridicule .,other,-,-,-,-,-,1792a, 1792dda,adjective,spectacle,amod
arrivé à ce château j'en examinai la structure qui me parut assez baroque pour me dispenser d'en faire ici la description .,other,-,-,-,-,-,1787g,adjective,structure,-
cette maison est de bois et domine par dessus toutes les autres sa structure est très singulière et baroque l'escalier est en dehors .,other,-,-,-,-,-,1789h,adjective,structure,-
il protege avec droit comme simple animal promettant un mari nullement équivoque de qui la structure baroque dispense un épouse d'aimer et cela sans délai .,other,-,-,-,-,-,1719xxb, 1720, 1737, 1743b, 1744b, 1748c, 1750xxb, 1757c,adjective,structure,amod
godwin sand est un grand banc de structure fort baroque qui s'étend à peu près nord nord est et sud sud ouest environ trois lieuse et demie et dont la partie du sud appellée south-sand-head est à une lieure un tiers au nord-est de south-forelenad et à même distance de la côte de deal .,other,-,-,-,-,-,1757i, 1759oj,adjective,structure,amod
leur structure baroque leur a fait donner le nom de petit paysan .,other,-,-,-,-,-,1760xxa, 1764b,adjective,structure,amod
supposition aussi baroque qu'elle est insoutenable et contraire au bons sens .,other,-,-,-,-,-,1767l,adjective,supposition,amod
ce sont de grands blocs sans forme déterminée et dont la surface seule est baroque .,other,-,-,-,-,-,1779c,adjective,surface,nsubj
grace à l'abbaye de cambron qui a repris son tabernacle baroque .,other,-,-,-,-,-,1792x,adjective,tabernacle,amod
le malheureux succès de ce baroque tableau de nos arts les justes reproches qu'il a attirés à l'auteur ne l'ont pas empêché de nous jeter tout récemment à la tête un autre livre de la même taille et dans le même goût .,other,-,-,-,-,-,1780xa, 1782xg,adjective,tableau,amod
mais en conscience convenez donc que la tendresse des vieilles gents est baroque .,other,-,-,-,-,-,1786g,adjective,tendresse,nsubj
encore un terme baroque de logique .,other,-,-,-,-,-,1788c,adjective,terme,amod
cependant ce n'est ici que de la théologie baroque .,other,-,-,-,-,-,1788xd,adjective,théologie,amod
il importe peu que nos jeunes étourdis coupent leurs cheveux affectent une toilette baroque marchent sans graces montent à chevalier ridiculement estropient le français afin d'obtenir que quelque marchande de bouquets dise .,other,-,-,-,-,-,1790xxxa,adjective,toilette,amod
tous enfin se monterent sur un ton si haut si baroque et si fou qu'ils formerent le choeur le plus extraordinaire le plus bruyant et el plus ridicule qu'on eût entendu devant et depuis celui des .,other,-,-,-,-,-,1772t, 1773h, 1798_c,adjective,ton,-
détone à tort à travers prend de la dame en colère le ton baroque et les airs .,other,-,-,-,-,-,1776_w, 1776xi, 1778_w,adjective,ton,amod
enfin du p parti je n'entends plus le pas le q traînant sa queue et quelérant tout bas vient s'attaquer à l'u qu'à chaque instant il choque et sur le ton du k calque son ton baroque  et cetera .,other,-,-,-,-,-,1786m,adjective,ton,amod
le q traînant sa queue et querellant tout bas vient s'attaquer à l'u qu'à chaque instant il choque et sur le ton du k calque son ton baroque .,other,-,-,-,-,-,1786xr,adjective,ton,amod
quelquefois même le tour baroque de sidoine apollinaire .,other,-,-,-,-,-,1746_wa, 1747jja, 1752_wa, 1770f, 1771_wa,adjective,tour,amod
plus un tour était baroque plus celui qui croyait avoir rencontré la vraie façon de le rendre se faisait valoir .,other,-,-,-,-,-,1777xb,adjective,tour,nsubj
en effet les termes de travers de jargon de tournure plate triviale baroque barbare inepte ridicule stupide et cetera relevent sans cesse la gracce de vos discours et vous avez épuisé pour m gilbert le répertoire de vos aménités critiques .,other,-,-,-,-,-,1778x,adjective,tournure,-
est un vers obscur et recherché vieillir de leur antiquité est une tournure baroque qui approche de la barbarie .,other,-,-,-,-,-,1778_s, 1778m,adjective,tournure,amod
et confirme son dire burlesque par un trait encore plus baroque et qui ne sert plus guère que de lieu commun à tous nos faiseurs de contes .,other,-,-,-,-,-,1752s,adjective,trait,amod
c'est beau vous disent ils en vous chantant quelque trait baroque .,other,-,-,-,-,-,1797_ai,adjective,trait,amod
j'y réussis non sans quelque sorte de peine pour faire monter la ligature tout en haut parce que la tumeur était comme baroque tant elle était couverte de tubérosités .,other,-,-,-,-,-,1771x,adjective,tumeur,nsubj
nous nous sommes souvent donné de la peine pour apprendre la cause de cet usage baroque .,other,-,-,-,-,-,1790i,adjective,usage,amod
cela sera français selon vous et vous ferez un vers baroque .,other,-,-,-,-,-,1774xg,adjective,vers,amod
le nez plus épaté le menton plus long la bouche plus ouverte et tout le reste du visage un peu plus baroque que votre portrait .,other,-,-,-,-,-,1700xxxa, 1701a, 1707_d, 1714_l, 1717_p, 1721, 1741b,adjective,visage,amod
mais j'ai le visage si baroque .,other,-,-,-,-,-,1724xxa, 1783xj,adjective,visage,amod
il me semble aussi que vous avez les yeux plus petits et plus éraillés le nez plus épaté le menton plus long la bouche plus ouverte et tout le visage un peu plus baroque que votre portrait .,other,-,-,-,-,-,1790b,adjective,visage,amod
voilà un visage bien baroque .,other,-,-,-,-,-,1790za,adjective,visage,amod
les grandes et les petites prennent une forme régulière comme celle d'une petite poire d'une olive d'un globe ou bien une forme anguleuse et baroque selon que le premier peloton de suc durci ou caillé qui a servi de noyau et de base aux couches postérieurement appliquées était lui-même régulier ou irrégulier dans sa figure .,pearl,form,-,pearl,-,-,1736xa, 1737_wa, 1741_r, 1742za, 1743zd, 1744za, 1748za, 1749c, 1749zc, 1752zb, 1764za, 1775_wp, 1780zc, 1782zb,adjective,forme,-
une perle de bel orient forme un peu baroque deux percés en deux endroits pesant quarante neuf grains trois seizes ou douze karats sept seizes estimée cinq cents livres .,pearl,form,-,pearl,-,-,1791i,adjective,forme,-
une perle d'orient un peu nattée forme baroque doux ayant des ondulations une gersure un peu jaunâtre et percée pesant cinquante-deux grains deux seizes ou treize karats deux seizes estimée cinq cents livres .,pearl,form,-,pearl,-,-,1791i,adjective,forme,amod
ainsi nous disons perle en pointe ou en poire perle ronde perle ovale perle baroque .,pearl,form,-,pearl,-,-,1701_ah,adjective,perle,amod
tympania de pline est une espèce de perle baroque que nos joalliers nomment tambourins elle a la figure d'une tymballe .,pearl,form,-,pearl,-,-,1701,adjective,perle,amod
qu'est-ce que borneo au prix de bisnagar et quelle comparaison y a-t-il entre une perle baroque et une perle parfaite .,pearl,form,-,pearl,-,-,1715b, 1778j, 1785oi, 1786nc, 1786xxxa, 1787r,adjective,perle,amod
une perle baroque et de vilaine eau de quelque poids qu'elle sait ne saurait valoir la fameuse pèregrine .,pearl,form,-,pearl,-,-,1719a, 1732c, 1733a, 1740g, 1746a, 1755j, 1760e, 1770k,adjective,perle,amod
covarruvias au mot barrueco dit que ce mot espagnol qui signifie une perle baroque a été fait du latin verruca à cause de la ressemblance de ces perles à des verrues .,pearl,form,-,pearl,-,-,1750a,adjective,perle,amod
une perle baroque d'une volume extraordinaire creusée en forme de flacon et ornée d'un couvercle et d'une chaine d'or .,pearl,form,-,pearl,-,-,1781o,adjective,perle,amod
une perle baroque très joliment montée en or émaillé .,pearl,form,-,pearl,-,-,1781o,adjective,perle,amod
